student_id,university,gender,graduation_year,target_role,cgpa,attendance_percent,internship_count,project_count,certification_count,hackathon_count,programming_language,curriculum_programming_score,industry_programming_required,programming_gap,curriculum_dsa_score,industry_dsa_required,dsa_gap,curriculum_dbms_score,industry_dbms_required,dbms_gap,curriculum_web_development_score,industry_web_development_required,web_development_gap,curriculum_cloud_score,industry_cloud_required,cloud_gap,curriculum_ai_ml_score,industry_ai_ml_required,ai_ml_gap,curriculum_cybersecurity_score,industry_cybersecurity_required,cybersecurity_gap,curriculum_devops_score,industry_devops_required,devops_gap,curriculum_communication_score,industry_communication_required,communication_gap,curriculum_problem_solving_score,industry_problem_solving_required,problem_solving_gap,overall_skill_alignment,average_skill_gap,employability_score,skill_gap_category,placement_status,event_timestamp
STU0001,Andhra University,Male,2027,Cloud Engineer,6.71,84.9,0,1,2.0,1,JavaScript,56.6,70,13.4,47.5,68,20.5,56.7,62,5.3,52.4,55,2.6,32.2,88,55.8,74.9,58,0.0,73.3,45,0.0,45.2,82,36.8,59.0,70,11.0,37.1,76,38.9,81.57,18.43,59.26,Moderate Gap,Not Placed,2026-05-20 00:00:00
STU0002,KL University,Male,2025,Software Developer,8.08,76.6,2,3,,1,Python,75.6,80,4.4,70.6,78,7.4,64.5,72,7.5,81.6,68,0.0,55.6,60,4.4,63.2,55,0.0,81.5,45,0.0,88.0,50,0.0,64.8,72,7.2,62.8,78,15.2,95.39,4.61,81.67,Low Gap,Placed,2025-08-05 00:00:00
STU0003,JNTU Kakinada,Female,2025,DevOps Engineer,8.07,90.0,2,4,0.0,0,C#,65.5,72,6.5,73.2,70,0.0,81.4,58,0.0,78.7,50,0.0,97.7,82,0.0,72.8,52,0.0,93.6,48,0.0,87.1,88,0.9,91.3,72,0.0,74.9,80,5.1,98.75,1.25,86.93,Low Gap,Placed,2026-01-28 00:00:00
STU0004,GITAM University,Male,2025,Software Developer,7.87,82.8,2,2,1.0,1,JavaScript,54.2,80,25.8,48.9,78,29.1,72.0,72,0.0,89.0,68,0.0,82.0,60,0.0,71.7,55,0.0,84.2,45,0.0,79.2,50,0.0,54.8,72,17.2,48.8,78,29.2,89.87,10.13,77.98,Moderate Gap,Placed,2025-09-16 00:00:00
STU0005,GITAM University,Male,2025,Software Developer,7.33,74.8,3,2,1.0,1,Python,81.2,80,0.0,90.6,78,0.0,55.1,72,16.9,77.8,68,0.0,78.8,60,0.0,98.0,55,0.0,75.8,45,0.0,81.7,50,0.0,79.1,72,0.0,91.2,78,0.0,98.31,1.69,90.52,Low Gap,Placed,2025-07-17 00:00:00
STU0006,Vignan University,Female,2026,Cloud Engineer,6.87,99.4,2,2,0.0,1,C++,75.0,70,0.0,77.0,68,0.0,87.2,62,0.0,79.2,55,0.0,44.4,88,43.6,79.8,58,0.0,85.1,45,0.0,64.0,82,18.0,61.1,70,8.9,71.6,76,4.4,92.5,7.5,78.86,Low Gap,Not Placed,2026-07-26 00:00:00
STU0007,Andhra University,Male,2025,DevOps Engineer,7.81,89.0,1,3,2.0,2,C++,81.7,72,0.0,69.9,70,0.1,70.5,58,0.0,81.4,50,0.0,82.2,82,0.0,70.1,52,0.0,98.0,48,0.0,84.3,88,3.7,85.9,72,0.0,81.3,80,0.0,99.62,0.38,85.99,Low Gap,Placed,2025-05-15 00:00:00
STU0008,KL University,Male,2027,Data Scientist,6.94,69.7,0,5,1.0,2,JavaScript,61.7,78,16.3,58.3,75,16.7,77.4,72,0.0,98.0,55,0.0,72.0,52,0.0,54.0,88,34.0,70.5,40,0.0,59.4,45,0.0,76.6,75,0.0,59.1,82,22.9,91.01,8.99,76.06,Low Gap,Not Placed,2025-04-09 00:00:00
STU0009,GITAM University,Male,2027,DevOps Engineer,7.11,74.7,1,3,1.0,2,C++,79.1,72,0.0,83.7,70,0.0,55.8,58,2.2,62.5,50,0.0,59.2,82,22.8,57.3,52,0.0,76.9,48,0.0,92.9,88,0.0,54.4,72,17.6,71.4,80,8.6,94.88,5.12,78.99,Low Gap,Placed,2026-02-04 00:00:00
STU0010,GITAM University,Female,2027,Data Analyst,8.0,83.5,0,3,1.0,0,C#,63.0,72,9.0,79.4,65,0.0,74.2,78,3.8,62.5,62,0.0,69.2,55,0.0,92.0,78,0.0,74.8,35,0.0,79.8,40,0.0,82.9,75,0.0,80.7,72,0.0,98.72,1.28,74.68,Low Gap,Not Placed,2025-04-16 00:00:00
STU0011,KL University,Female,2026,Cloud Engineer,6.91,89.6,0,2,1.0,1,JavaScript,47.7,70,22.3,38.9,68,29.1,68.5,62,0.0,73.2,55,0.0,91.9,88,0.0,69.0,58,0.0,86.1,45,0.0,60.7,82,21.3,64.2,70,5.8,41.4,76,34.6,88.69,11.31,66.15,Moderate Gap,Not Placed,2026-03-29 00:00:00
STU0012,Vignan University,Male,2027,Cloud Engineer,7.12,79.7,1,3,1.0,0,C#,57.3,70,12.7,51.5,68,16.5,55.1,62,6.9,86.3,55,0.0,72.4,88,15.6,60.5,58,0.0,77.8,45,0.0,74.7,82,7.3,76.5,70,0.0,55.2,76,20.8,92.01,7.99,73.92,Low Gap,Placed,2026-01-15 00:00:00
